n_rel[n_a] x_r[128l0]
8.000000000000000000e+00 2.550000000000000000e+01
4.000000000000000000e+00 2.550000000000000000e+01
4.000000000000000000e+00 3.050000000000000000e+01
8.000000000000000000e+00 3.050000000000000000e+01
2.000000000000000000e+00 1.350000000000000000e+01
6.000000000000000000e+00 1.350000000000000000e+01
1.000000000000000000e+01 1.350000000000000000e+01
2.000000000000000000e+00 2.325000000000000000e+01
6.000000000000000000e+00 2.325000000000000000e+01
1.000000000000000000e+01 2.325000000000000000e+01
5.000000000000000000e+00 3.025000000000000000e+01
6.000000000000000000e+00 3.300000000000000000e+01
1.000000000000000000e+01 3.300000000000000000e+01
2.148564007085104421e+00 2.067970223437809807e+01
9.997943862174684782e+00 1.880418652607480112e+01
8.482578289003251726e+00 2.012381167889554945e+01
5.819730046156554870e+00 2.346206050112119357e+01
8.507532242354127305e+00 1.781770285214637539e+01
1.223414973326489630e+01 1.985768220405220319e+01
1.373749699999999940e+01 1.708824999999999861e+01
1.497622532203576995e+01 1.427808819129449525e+01
1.200000000000000000e+01 2.800000000000000000e+01
5.849999999999999645e+00 2.402343750000000000e+01
1.207000000000000028e+01 1.790289999999999893e+01
1.488098399528286286e+01 1.854472470198709999e+01
1.496761942550000057e+01 2.081216845528999926e+01
5.000000000000000000e+00 2.070312500000000000e+01
7.000000000000000000e+00 1.984375000000000000e+01
4.750000000000000000e+00 2.306875000000000142e+01
5.500000000000000000e+00 1.796875000000000000e+01
1.496749508869872969e+01 1.814799486481393842e+01
2.036981835218822479e+00 1.709531842447671579e+01
3.855320251599999803e+00 2.597834999999999894e+01
1.494999999999999929e+01 3.300000000000000000e+01
1.407759930404359849e+01 1.909752870824380722e+01
1.499493565988900023e+01 1.912638061179999838e+01
1.493908557850000030e+01 2.492676529599999924e+01
1.040470067252838682e+01 2.047556377205086875e+01
1.454549774252591909e+01 1.863655346689871095e+01
1.493703717361585426e+01 2.263655346689871095e+01
1.150000000000000000e+01 1.900000000000000000e+01
1.359626715064155000e+01 2.048880671120559782e+01
6.000000000000000000e+00 2.150000000000000000e+01
1.500000000000000000e+01 1.700000000000000000e+01
1.251537606978048700e+01 1.620894031710075112e+01
1.500000000000000000e+01 1.500000000000000000e+01
1.421315099999999987e+01 1.611258799999999880e+01
1.489759148999999994e+01 1.866378775000000090e+01
1.250000000000000000e+01 2.200000000000000000e+01
1.039078175999999942e+01 1.891005713299999869e+01
1.459923367799999916e+01 1.990187444700000086e+01
1.350000000000000000e+01 2.800000000000000000e+01
6.000000000000000000e+00 1.775000000000000000e+01
1.100000000000000000e+01 1.650000000000000000e+01
9.019223768050000700e+00 1.667947489999999888e+01
1.336631279690000085e+01 1.954811653106600033e+01
4.000000000000000000e+00 1.700000000000000000e+01
1.350000000000000000e+01 2.250000000000000000e+01
7.316871068910160147e+00 1.642884985334006842e+01
1.287112815567999924e+01 1.883430017079000152e+01
1.300000000000000000e+01 2.014999999999999858e+01
1.368848720856800050e+01 1.830249281553999907e+01
1.329421329800000073e+01 1.931701177369999911e+01
